1	홍길동	90	86	92	268	89.3
2	전미재	80	83	95	258	86.0
3	김양호	86	91	86	263	87.7
4	문성진	90	87	69	246	82.0
5	김자완	95	86	93	274	91.3
6	오당식	95	84	95	274	91.3
7	조성훈	92	86	95	273	91.0
8	박장우	84	83	85	252	84.0
9	지송범	80	83	84	247	82.3
10	최미도	75	80	86	241	80.3
11	송국영	84	84	95	263	87.7
12	염진범	80	84	90	254	84.7
13	정아아	75	80	75	230	76.7
14	이고석	79	82	83	244	81.3
15	심안혜	83	83	89	255	85.0
16	김상민	85	85	91	261	87.0
17	박명수	93	83	95	271	90.3
18	김유관	90	83	93	266	88.7
19	진수나	90	83	95	268	89.3
20	윤정경	75	80	77	232	77.3
21	안현철	82	82	87	251	83.7
22	민종조	91	88	95	274	91.3
23	원우철	83	81	85	249	83.0
24	박규수	75	80	62	217	72.3
25	이세철	80	83	87	250	83.3
26	곽참만	82	83	89	254	84.7
27	한양희	79	83	80	242	80.7
28	구박영	93	85	95	273	91.0
29	김사형	81	82	74	237	79.0
30	이상민	82	82	91	255	85.0
31	강안기	90	87	95	272	90.7
32	김장혜	82	81	90	253	84.3
33	김정철	82	83	93	258	86.0
34	유요림	94	86	76	256	85.3
35	박미기	90	84	95	269	89.7
36	김양두	75	80	83	238	79.3
37	박상진	84	83	91	258	86.0
38	현잔철	80	83	76	239	79.7
39	김진기	75	80	66	221	73.7
40	도하진	93	84	95	272	90.7
41	윤양국	80	82	70	232	77.3
42	김장섭	80	82	91	253	84.3
43	구기민	82	83	95	260	86.7
44	홍자원	84	84	93	261	87.0
45	오정혜	92	83	87	262	87.3
46	김다성	90	91	93	274	91.3
47	박정훈	88	90	69	247	82.3
48	김오정	86	83	95	264	88.0
49	박청진	97	89	95	281	93.7
50	양강현	90	85	79	254	84.7
